"","LGA","year","hosp_rate","death_rate"
"1","Albury","2003",471.1,28.5
"2","Albury","2004",415.2,22.5
"3","Albury","2005",427.6,23.1
"4","Albury","2006",447.6,23.8
"5","Albury","2007",504.6,23.2
"6","Albury","2008",540.9,24.7
"7","Albury","2009",554.7,20.6
"8","Albury","2010",571,18.7
"9","Albury","2011",570,22.9
"10","Albury","2012",552.5,25.7
"11","Albury","2013",474.9,23.1
"12","Albury","2014",444.4,19.2
"13","Albury","2015",434.7,17.9
"14","Albury","2016",428.9,22.5
"15","Albury","2017",468,NA
"16","Armidale Regional","2003",741.1,27.3
"17","Armidale Regional","2004",634.4,25.1
"18","Armidale Regional","2005",613.6,23.7
"19","Armidale Regional","2006",604.9,22.8
"20","Armidale Regional","2007",597.5,21.1
"21","Armidale Regional","2008",598,20.5
"22","Armidale Regional","2009",598.5,21.5
"23","Armidale Regional","2010",550.9,22.1
"24","Armidale Regional","2011",478.8,21.3
"25","Armidale Regional","2012",442.6,21.1
"26","Armidale Regional","2013",434.7,21.4
"27","Armidale Regional","2014",474.4,22
"28","Armidale Regional","2015",533.6,22.3
"29","Armidale Regional","2016",482.2,22.6
"30","Armidale Regional","2017",429.2,NA
"31","Ballina","2003",556.3,25.6
"32","Ballina","2004",522.3,24
"33","Ballina","2005",523.4,22.8
"34","Ballina","2006",587.3,23.4
"35","Ballina","2007",643.1,20.4
"36","Ballina","2008",604.4,18.8
"37","Ballina","2009",597.9,21.9
"38","Ballina","2010",602.3,22.5
"39","Ballina","2011",589.6,20
"40","Ballina","2012",564.8,18.2
"41","Ballina","2013",592.5,22.2
"42","Ballina","2014",633.2,24.3
"43","Ballina","2015",629.8,24.4
"44","Ballina","2016",636.2,23.9
"45","Ballina","2017",635.4,NA
"46","Balranald","2003",746.9,25.7
"47","Balranald","2004",761.6,23.7
"48","Balranald","2005",792,22.3
"49","Balranald","2006",768.6,21.9
"50","Balranald","2007",779.1,21.3
"51","Balranald","2008",755.4,19.2
"52","Balranald","2009",717.2,18.6
"53","Balranald","2010",720.9,19.9
"54","Balranald","2011",666.8,20.5
"55","Balranald","2012",674.4,19.6
"56","Balranald","2013",687.3,19.2
"57","Balranald","2014",611.8,18.4
"58","Balranald","2015",578.6,18.6
"59","Balranald","2016",558.7,20.3
"60","Balranald","2017",592.4,NA
"61","Bathurst Regional","2003",469.3,26.9
"62","Bathurst Regional","2004",479.2,24.4
"63","Bathurst Regional","2005",524,23.2
"64","Bathurst Regional","2006",655.1,22.8
"65","Bathurst Regional","2007",684.4,22
"66","Bathurst Regional","2008",656.3,20.2
"67","Bathurst Regional","2009",694.7,19.8
"68","Bathurst Regional","2010",669.1,21.5
"69","Bathurst Regional","2011",627.3,22.9
"70","Bathurst Regional","2012",555.2,22
"71","Bathurst Regional","2013",506.8,20
"72","Bathurst Regional","2014",454.8,20
"73","Bathurst Regional","2015",427.2,20.8
"74","Bathurst Regional","2016",479.9,21.6
"75","Bathurst Regional","2017",498.8,NA
"76","Bega Valley","2003",592,29.9
"77","Bega Valley","2004",530.1,28.1
"78","Bega Valley","2005",484.7,24
"79","Bega Valley","2006",500.7,22.9
"80","Bega Valley","2007",598.7,21.7
"81","Bega Valley","2008",685.6,21
"82","Bega Valley","2009",746.8,21.7
"83","Bega Valley","2010",796.6,21.6
"84","Bega Valley","2011",783.7,22.1
"85","Bega Valley","2012",685.5,22.2
"86","Bega Valley","2013",629.8,20.5
"87","Bega Valley","2014",652.1,19.5
"88","Bega Valley","2015",609,22.4
"89","Bega Valley","2016",562.7,22.6
"90","Bega Valley","2017",568.8,NA
"91","Bellingen","2003",934.5,27.3
"92","Bellingen","2004",907.7,25.3
"93","Bellingen","2005",838.4,23.3
"94","Bellingen","2006",791.6,22.4
"95","Bellingen","2007",725.4,21.7
"96","Bellingen","2008",617.1,21.9
"97","Bellingen","2009",621.1,22.4
"98","Bellingen","2010",661.4,22.5
"99","Bellingen","2011",657.7,21.5
"100","Bellingen","2012",611.2,21.5
"101","Bellingen","2013",617.5,21.9
"102","Bellingen","2014",634.1,22.9
"103","Bellingen","2015",561.3,23.1
"104","Bellingen","2016",512.9,22.6
